EnsembleID,symbol,log2FoldChange,pvalue,padj,Regulation
ENSG00000129675.11,ARHGEF6,0.642075179538552,1.95587637486651e-06,8.93247150258141e-05,Upregulated
ENSG00000258647.1,LINC00930,1.4981413106798,1.95287171269545e-06,8.93247150258141e-05,Upregulated
ENSG00000091879.9,ANGPT2,1.30148210975796,1.96792909938883e-06,8.97081290734076e-05,Upregulated
ENSG00000118640.6,VAMP8,1.21214531704316,1.99548575865497e-06,9.06912758953757e-05,Upregulated
ENSG00000183615.5,FAM167B,1.05168054489681,2.00234867579487e-06,9.08561668126827e-05,Upregulated
ENSG00000143772.5,ITPKB,0.888600851121144,2.03721366083423e-06,9.22890646642759e-05,Upregulated
ENSG00000187837.2,HIST1H1C,1.16924584437521,2.09470418847082e-06,9.44365273540609e-05,Upregulated
ENSG00000180008.8,SOCS4,0.614690294548845,2.12692199977404e-06,9.5074669583711e-05,Upregulated
ENSG00000185222.7,WBP5,0.620068878709095,2.12688757085867e-06,9.5074669583711e-05,Upregulated
ENSG00000254539.1,RP4-791M13.3,0.757708119823627,2.11905987691533e-06,9.5074669583711e-05,Upregulated
ENSG00000137868.14,STRA6,1.67581370394573,2.13552165104249e-06,9.52069787505245e-05,Upregulated
ENSG00000256955.1,RP11-417L19.2,1.4203279114185,2.21099636405943e-06,9.79499288286074e-05,Upregulated
ENSG00000236069.1,RP5-1011O1.3,2.3095966839709,2.27449774572554e-06,0.0001001313764642,Upregulated
ENSG00000171885.9,AQP4,1.09442897618536,2.28637402282558e-06,0.000100496693551,Upregulated
ENSG00000165025.10,SYK,1.26370958702167,2.32520130932569e-06,0.0001018844448908,Upregulated
ENSG00000163605.10,PPP4R2,0.578671842449566,2.47125331186291e-06,0.0001070674358506,Upregulated
ENSG00000172243.13,CLEC7A,1.32719626641018,2.47093102300914e-06,0.0001070674358506,Upregulated
ENSG00000261568.1,RP11-524C21.2,1.17548306320402,2.49697139187731e-06,0.0001078960545902,Upregulated
ENSG00000166523.3,CLEC4E,1.95123167441304,2.52957782738419e-06,0.0001091371005188,Upregulated
ENSG00000266903.1,CTB-171A8.1,1.66871785295869,2.54022851090994e-06,0.000109428524825,Upregulated
ENSG00000163386.15,NBPF10,0.808706468030284,2.56407859977529e-06,0.0001102763359628,Upregulated
ENSG00000148175.8,STOM,0.943784545492452,2.62112388516125e-06,0.0001118837485752,Upregulated
ENSG00000196935.4,SRGAP1,0.691976675374683,2.64242654338809e-06,0.000112621903375,Upregulated
ENSG00000085719.7,CPNE3,0.598597089586424,2.68810693170942e-06,0.0001143952415013,Upregulated
ENSG00000122176.9,FMOD,1.55972412397279,2.70293405264452e-06,0.0001148522068632,Upregulated
ENSG00000228630.1,HOTAIR,2.31433479517073,2.72966416848114e-06,0.0001158128058914,Upregulated
ENSG00000042980.8,ADAM28,1.19310446901132,2.76750630862199e-06,0.0001168886461507,Upregulated
